event_id,date,hour,lat,lon,area_ha,y_gt10ha,y_gt100ha,comuna,region,temporada,split
1277,2015-03-14,19,-36.055,-72.39361,0.2,0,0,Cauquenes,Maule,2014 al 2015,train
1278,2015-03-16,10,-35.3875,-72.18056,1.0,0,0,Constitución,Maule,2014 al 2015,train
1279,2015-03-18,13,-35.06778,-71.00222,0.01,0,0,Curicó,Maule,2014 al 2015,train
1280,2015-03-23,15,-34.8675,-72.04028,0.07,0,0,Vichuquén,Maule,2014 al 2015,train
1281,2015-03-26,15,-35.73611,-71.24583,0.01,0,0,Colbún,Maule,2014 al 2015,train
1282,2015-04-02,7,-35.5,-72.18444,0.5,0,0,Constitución,Maule,2014 al 2015,train
1283,2015-04-20,10,-36.21361,-71.41361,0.1,0,0,Longaví,Maule,2014 al 2015,train
1284,2014-12-06,13,-36.2675,-71.5625,0.02,0,0,Parral,Maule,2014 al 2015,train
1285,2014-12-17,16,-36.18056,-71.42111,0.2,0,0,Longaví,Maule,2014 al 2015,train
1286,2015-01-13,21,-36.08528,-72.45583,0.8,0,0,Cauquenes,Maule,2014 al 2015,train
1287,2015-03-25,14,-35.45083,-71.09056,0.05,0,0,San Clemente,Maule,2014 al 2015,train
1288,2014-10-13,11,-35.96556,-72.67583,3.0,0,0,Pelluhue,Maule,2014 al 2015,train
1289,2014-10-12,17,-35.72806,-72.50444,0.5,0,0,Chanco,Maule,2014 al 2015,train
1290,2014-10-14,16,-35.89556,-72.37972,2.0,0,0,Cauquenes,Maule,2014 al 2015,train
1291,2014-10-15,11,-35.7375,-72.52556,0.1,0,0,Chanco,Maule,2014 al 2015,train
1292,2014-10-15,16,-35.9225,-71.37806,1.0,0,0,Linares,Maule,2014 al 2015,train
1293,2014-10-15,17,-35.92556,-71.37556,0.1,0,0,Linares,Maule,2014 al 2015,train
1294,2014-10-18,10,-35.03389,-71.13528,2.5,0,0,Curicó,Maule,2014 al 2015,train
1295,2014-10-20,17,-35.42278,-71.60139,0.02,0,0,Talca,Maule,2014 al 2015,train
1296,2014-10-24,14,-35.58333,-71.73639,0.03,0,0,San Javier,Maule,2014 al 2015,train
1297,2014-10-24,15,-35.11611,-71.68778,0.5,0,0,Curepto,Maule,2014 al 2015,train
1298,2014-10-25,12,-34.85278,-71.21528,0.04,0,0,Teno,Maule,2014 al 2015,train
1299,2014-10-25,14,-35.43194,-71.62833,0.03,0,0,Talca,Maule,2014 al 2015,train
1300,2014-10-31,17,-35.75972,-72.51556,0.6,0,0,Chanco,Maule,2014 al 2015,train
1301,2014-11-01,11,-35.25333,-71.37472,0.02,0,0,Río Claro,Maule,2014 al 2015,train
1302,2014-11-08,14,-34.84528,-71.23083,0.3,0,0,Teno,Maule,2014 al 2015,train
